wav_filename,wav_filesize,transcript
/home/jia/project/backend/audios/train/1249120_44176037_51165744.wav,106540,my shoulder has agreat pain
/home/jia/project/backend/audios/train/1249120_44176037_67765155.wav,221228,stiffness inability to look right or left except by moving the whole body
/home/jia/project/backend/audios/train/1249120_44176037_70263526.wav,158424,i feel a soreness in my knees when i walk
/home/jia/project/backend/audios/train/1249120_44176037_85065458.wav,166616,every time i comb my hair there are so many hair in my comb 
/home/jia/project/backend/audios/train/1249120_44176037_97090559.wav,150232,my chest acne breaks out and never clears up 
/home/jia/project/backend/audios/train/1249120_44188922_39157694.wav,90156,when i play football i have muscle pain 
/home/jia/project/backend/audios/train/1249120_44194084_101287990.wav,183000,my hair is falling out after i take a shower 
/home/jia/project/backend/audios/train/1249120_44194084_14380548.wav,177538,when i played football i dislocated my shoulder
/home/jia/project/backend/audios/train/1249120_44194084_23344116.wav,243074,i am always cold  even when i am wearing layers
/home/jia/project/backend/audios/train/1249120_44194084_30706560.wav,221228,i have a hard muscle pain since i went to the gym
/home/jia/project/backend/audios/train/1249120_44194084_82467491.wav,218498,when i extend my leg there is pain in knee joint
/home/jia/project/backend/audios/train/1249120_44194084_84444846.wav,183000,i have a great stomach ache and i can't eat any thing
/home/jia/project/backend/audios/train/1249120_44194084_86305259.wav,256728,i cannot breathe because of this dull ache below my left shoulder 
/home/jia/project/backend/audios/train/1249120_44194084_90297861.wav,191192,i feel a pain in my back when i sit on a chair for long 
/home/jia/project/backend/audios/train/1249120_44194084_96884094.wav,300418,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing 
/home/jia/project/backend/audios/train/1249120_44197979_101179113.wav,98348,i have some pain when i'm walking around my knees
/home/jia/project/backend/audios/train/1249120_44197979_105003496.wav,73772,there are lots of hairs on my pillow in the morning 
/home/jia/project/backend/audios/train/1249120_44197979_13841335.wav,147500,when i play sports  i have some burning sensation in my spine
/home/jia/project/backend/audios/train/1249120_44197979_16640086.wav,133848,i have a dull ache in my stomach   it gets worse after i eat 
/home/jia/project/backend/audios/train/1249120_44197979_20569127.wav,218498,i can't hear out of my ear properly  i feel like there is something in it causing irritation 
/home/jia/project/backend/audios/train/1249120_44197979_20977118.wav,125656,i can hardly move my neck   it hurts 
/home/jia/project/backend/audios/train/1249120_44197979_24171259.wav,128386,it feels like my heart is going to leap out of my body  it hurts 
/home/jia/project/backend/audios/train/1249120_44197979_24602195.wav,57388,i'm having a hard time hearing 
/home/jia/project/backend/audios/train/1249120_44197979_28613717.wav,87426,i have shooting pains up and down my back 
/home/jia/project/backend/audios/train/1249120_44197979_37064130.wav,68312,i think there's fluid in my ears 
/home/jia/project/backend/audios/train/1249120_44197979_41621256.wav,114732,even if the temperature is high in the house   my body is always cold
/home/jia/project/backend/audios/train/1249120_44197979_44219331.wav,98348,my acne is really embarassing  it's so read 
/home/jia/project/backend/audios/train/1249120_44197979_47304903.wav,172076,my sore isn't healing well and it's been like this for two weeks 
/home/jia/project/backend/audios/train/1249120_44197979_49597906.wav,128386,my head hurts in the back and the pain lasts all day 
/home/jia/project/backend/audios/train/1249120_44197979_51659394.wav,95618,i have a rash and it itches very bad 
/home/jia/project/backend/audios/train/1249120_44197979_58181708.wav,128386,my heart feels like it's going to explode 
/home/jia/project/backend/audios/train/1249120_44197979_59418827.wav,73772,is pimples a skin disease 
/home/jia/project/backend/audios/train/1249120_44197979_65625118.wav,133848,after playing tennis   i had a powerful sensation close to my neck
/home/jia/project/backend/audios/train/1249120_44197979_67157406.wav,73772,my hair is falling out in bunches 
/home/jia/project/backend/audios/train/1249120_44197979_68219301.wav,112002,my shoulder hurts when i try to reach something above my head 
/home/jia/project/backend/audios/train/1249120_44197979_69352124.wav,68312,i knocked my foot and it really hurts 
/home/jia/project/backend/audios/train/1249120_44197979_76013119.wav,166616,i have a scab on the back of my hand that just won't go away 
/home/jia/project/backend/audios/train/1249120_44197979_76321767.wav,84696,i have a cut that is red and swollen 
/home/jia/project/backend/audios/train/1249120_44197979_79023640.wav,65580,my skin is very dry and peeling 
/home/jia/project/backend/audios/train/1249120_44197979_80062945.wav,125656,i have a dull ache in  my lower back which makes it difficult to move
/home/jia/project/backend/audios/train/1249120_44235678_103932475.wav,120194,i have a sharp pain in my lower stomach 
/home/jia/project/backend/audios/train/1249120_44235678_105750406.wav,223960,even though i'm an adult my face keeps breaking out in pimples 
/home/jia/project/backend/audios/train/1249120_44235678_13002551.wav,199384,i have front head pain and when i get it the light bothers me 
/home/jia/project/backend/audios/train/1249120_44235678_21718488.wav,374146,i have a pain that radiates up from my right hip to my rib cage   it is at it's worst when i urinate 
/home/jia/project/backend/audios/train/1249120_44235678_30693047.wav,158424,i'm having a hard time hearing 
/home/jia/project/backend/audios/train/1249120_44235678_76400301.wav,273112,i think there's something wrong with my wound  it does not seem to heal like it should 
/home/jia/project/backend/audios/train/1249120_44235678_85355864.wav,262188,when i stand up too quickly i feel as though i'm going to faint 
/home/jia/project/backend/audios/train/1249120_44235678_90292962.wav,142040,my heart is beating fast and it scares me 
/home/jia/project/backend/audios/train/1249120_44142156_104815781.wav,204844,what's the symptoms of appendicitis 
/home/jia/project/backend/audios/train/1249120_44142156_67177464.wav,133848,my acne is really embarassing  it's so read 
/home/jia/project/backend/audios/train/1249120_44142156_72116310.wav,142040,there is a tingling sensation in my neck 
/home/jia/project/backend/audios/train/1249120_44142156_92200558.wav,221228,i've been over my cold for weeks but still cough every day 
/home/jia/project/backend/audios/train/1249120_44142156_95959757.wav,133848,i have a cut that is red and swollen 
/home/jia/project/backend/audios/train/1249120_44160489_102101174.wav,225928,i stopped sports because i get injury from sports
/home/jia/project/backend/audios/train/1249120_44160489_102714693.wav,148652,i have dark spots on my skin
/home/jia/project/backend/audios/train/1249120_44160489_103212940.wav,258622,after an hard working day i have foot ache
/home/jia/project/backend/audios/train/1249120_44160489_10758647.wav,142708,can't keep focus
/home/jia/project/backend/audios/train/1249120_44160489_107722835.wav,276456,i feel deep tingling when i touch acne followed by bad sensation
/home/jia/project/backend/audios/train/1249120_44160489_15134043.wav,321038,i have whooping cough with excess mucous  need mucolytic 
/home/jia/project/backend/audios/train/1249120_44160489_16357195.wav,160542,i feel pain in my joint after an injury in the last football match i played 
/home/jia/project/backend/audios/train/1249120_44160489_27371028.wav,184318,i have a problem in my back i cannot extend it
/home/jia/project/backend/audios/train/1249120_44160489_51266275.wav,211068,i feel severe itching in the skin with redness
/home/jia/project/backend/audios/train/1249120_44160489_64500032.wav,142708,my wound opened up again
/home/jia/project/backend/audios/train/1249120_44176037_100251532.wav,128386,my lower back hurts but it improves if i stretch it
/home/jia/project/backend/audios/train/1249120_44176037_102837935.wav,106540,i have a pain in my head
/home/jia/project/backend/audios/train/1249120_44176037_103421573.wav,155692,i have injured myself during the soccer match
/home/jia/project/backend/audios/train/1249120_44176037_30126275.wav,122924,my head hurts when i'm doing this 
/home/jia/project/backend/audios/train/1249120_44176037_31708444.wav,259458,i often get a sharp pain in my chest and i can't tell what i'm doing that might be triggering it 
/home/jia/project/backend/audios/train/1249120_44176037_36286796.wav,147500,my calves feel like they are tight as knots and are throbbing
/home/jia/project/backend/audios/train/1249120_44176037_49505826.wav,101080,my entire body is freezing 
/home/jia/project/backend/audios/train/1249120_44176037_55272412.wav,185730,i have a great stomach ache and i can't eat any thing
/home/jia/project/backend/audios/train/1249120_44176037_58635902.wav,169346,i was diagnosed with pneumonia  i can't breath easily 
/home/jia/project/backend/audios/train/1249120_44176037_60338690.wav,112002,i have a headache every time i eat ice cream
/home/jia/project/backend/audios/train/1249120_44176037_60482144.wav,333186,i started taking swimming lessons and i guess i swallowed too much water through my nose  because this sinusitis is killing me now 
/home/jia/project/backend/audios/train/1249120_44176037_70844058.wav,144770,i have a neck pain when i sit in front of my laptop 
/home/jia/project/backend/audios/train/1249120_44176037_73192675.wav,152962,i have eruptions on my face that come and go  
/home/jia/project/backend/audios/train/1249120_44176037_78861186.wav,234882,i can't stand up or sit down i have a pain in my back that annoys me
/home/jia/project/backend/audios/train/1249120_44176037_85896912.wav,289496,i feel dizzy when i set in front of my laptop for an hour or two  what possibly could be the reason 
/home/jia/project/backend/audios/train/1249120_44176037_87479535.wav,142040,i don't have full range of motion with my arms
/home/jia/project/backend/audios/train/1249120_44176037_92329827.wav,122924,i have terrible pain in my heart
/home/jia/project/backend/audios/train/1249120_44176037_96532055.wav,161154,i feel muscle pain every time i make an extra effort 
/home/jia/project/backend/audios/train/1249120_44176037_98460166.wav,152962,when i move on my shoulder  pain shoots down my arm
/home/jia/project/backend/audios/train/1249120_44188922_47265010.wav,125656,there is pain in the muscles i do not know caused
/home/jia/project/backend/audios/train/1249120_44188922_49011235.wav,95618,when i get up i see my skin vague
/home/jia/project/backend/audios/train/1249120_44188922_72403928.wav,166616,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain 
/home/jia/project/backend/audios/train/1249120_44188922_72628605.wav,73772,my knee is hurting so badly 
/home/jia/project/backend/audios/train/1249120_44194084_102319210.wav,158424,i feel joint pain every time i move
/home/jia/project/backend/audios/train/1249120_44194084_21837810.wav,251266,i have a blurry vision and i can't see in the darkness   what is the reason doctor  
/home/jia/project/backend/audios/train/1249120_44194084_42535299.wav,314072,my knees swell right below the knee cap and hurt when i put weight on them 
/home/jia/project/backend/audios/train/1249120_44194084_84873413.wav,218498,i have pain but i can't specify place
/home/jia/project/backend/audios/train/1249120_44194084_99534522.wav,292226,had i stepped on a needle it wouldn't have hurt so much  like this damned spur in my heel 
/home/jia/project/backend/audios/train/1249120_44197979_10146538.wav,76504,i cut myself and i'm bleeding 
/home/jia/project/backend/audios/train/1249120_44197979_101938772.wav,103810,my hair is coming out in chunks  especially when i wash it
/home/jia/project/backend/audios/train/1249120_44197979_10689366.wav,87426,i have a head pain every single day 
/home/jia/project/backend/audios/train/1249120_44197979_16652752.wav,81964,my knee doesn't want to bend well 
/home/jia/project/backend/audios/train/1249120_44197979_17790138.wav,84696,in the morning my respiration is loud 
/home/jia/project/backend/audios/train/1249120_44197979_20013077.wav,122924,i was very active in sports but now my body is feeling pain 
/home/jia/project/backend/audios/train/1249120_44197979_25913472.wav,101080,there is a tingling sensation in my neck 
/home/jia/project/backend/audios/train/1249120_44197979_28707699.wav,71042,i have a sharp pain in my abdomen 
/home/jia/project/backend/audios/train/1249120_44197979_32298536.wav,81964,is my cut infected or just healing 
/home/jia/project/backend/audios/train/1249120_44197979_33751084.wav,259458,my knee feels weak and it gave way the other day at the top of the stairs   luckily there was a rail to hold on to 
/home/jia/project/backend/audios/train/1249120_44197979_34315354.wav,122924,mr hair is falling out just by combing it 
/home/jia/project/backend/audios/train/1249120_44197979_39096146.wav,120194,i hit myself and the would doesn't want to heal
/home/jia/project/backend/audios/train/1249120_44197979_39556611.wav,117464,after eating  i have burning sensation inside of me 
/home/jia/project/backend/audios/train/1249120_44197979_44403240.wav,101080,i have the impression of having no strength in my body
/home/jia/project/backend/audios/train/1249120_44197979_57390405.wav,158424,i have some terrible problems when i'm breathing during the night 
/home/jia/project/backend/audios/train/1249120_44197979_57846774.wav,95618,i have pain in my chest that saddens me 
/home/jia/project/backend/audios/train/1249120_44197979_60646664.wav,90156,when i eat sugar i notice my vision blurs 
/home/jia/project/backend/audios/train/1249120_44197979_64673870.wav,161154,i can't turn my neck to the left without feeling a stabbing pain
/home/jia/project/backend/audios/train/1249120_44197979_65618217.wav,84696,i get chills and aches all over 
/home/jia/project/backend/audios/train/1249120_44197979_66969521.wav,177538,i cannot get warm no matter how much i wrap up or how high i put the heating on
/home/jia/project/backend/audios/train/1249120_44197979_75966548.wav,73772,when i'm tired i feel my head heavy
/home/jia/project/backend/audios/train/1249120_44197979_80721411.wav,87426,there's swelling in my neck and it hurts 
/home/jia/project/backend/audios/train/1249120_44197979_83749143.wav,65580,my ear is ringing 
/home/jia/project/backend/audios/train/1249120_44197979_93192537.wav,163884,my knees seem to grind as i go up or down stairs 
/home/jia/project/backend/audios/train/1249120_44197979_93597396.wav,90156,when i eat too much sugar my body gets weak and dizzy 
/home/jia/project/backend/audios/train/1249120_44197979_99361949.wav,147500,my stomach feels full and upset  and bloating after big meals 
/home/jia/project/backend/audios/train/1249120_44235678_13910368.wav,264920,my hair is coming out in chunks  especially when i wash it
/home/jia/project/backend/audios/train/1249120_44235678_35080267.wav,232152,i have a dull ache in  my lower back which makes it difficult to move
/home/jia/project/backend/audios/train/1249120_44235678_49221773.wav,284034,i cut my finger opening a can  it won't stop bleeding and the wound is gaping and open
/home/jia/project/backend/audios/train/1249120_44235678_62476079.wav,158424,i have a powerful pain inside my neck
/home/jia/project/backend/audios/train/1249120_44235678_81459407.wav,215768,when i eat sugar i notice my vision blurs 
/home/jia/project/backend/audios/train/1249120_44235678_90041214.wav,150232,i can hardly move my neck   it hurts 
/home/jia/project/backend/audios/train/1249120_44235678_90339410.wav,180268,my sore looks like its not healing well 
/home/jia/project/backend/audios/train/1249120_44235678_93900687.wav,183000,when i eat too much sugar my body gets weak and dizzy 
/home/jia/project/backend/audios/train/1249120_44142156_85471796.wav,324994,i feel like i just can't cope anymore  i feel overwhelmed and like i just can't get a break 
/home/jia/project/backend/audios/train/1249120_44142156_92669868.wav,117464,i get chills and aches all over 
/home/jia/project/backend/audios/train/1249120_44142156_95625169.wav,379608,i cannot get warm no matter how much i wrap up or how high i put the heating on
/home/jia/project/backend/audios/train/1249120_44160489_39396966.wav,231874,my head is spinning when i get up 
/home/jia/project/backend/audios/train/1249120_44160489_54954142.wav,228900,there is a sharp pain in my bicep
/home/jia/project/backend/audios/train/1249120_44160489_68617378.wav,225928,i think my wound is infected
/home/jia/project/backend/audios/train/1249120_44160489_85279792.wav,163514,i can hardly breathe
/home/jia/project/backend/audios/train/1249120_44160489_90541690.wav,228900,i have a sharp pain in my ear
/home/jia/project/backend/audios/train/1249120_44160489_93769999.wav,321038,it started as a tinnitus  but today the pain is throbbing and unbearable 
/home/jia/project/backend/audios/train/1249120_44176037_20150035.wav,114732,i got injured exercising
/home/jia/project/backend/audios/train/1249120_44176037_35370988.wav,221228,i feel something hurt me in taking breath and i cant take my breath
/home/jia/project/backend/audios/train/1249120_44176037_39613511.wav,144770,it is like i have a needle pushing through my heart 
/home/jia/project/backend/audios/train/1249120_44176037_43171240.wav,223960,i feel a burning sensation in my guts about   hours after each meal 
/home/jia/project/backend/audios/train/1249120_44176037_55180782.wav,122924,i feel weak all over 
/home/jia/project/backend/audios/train/1249120_44176037_91490605.wav,144770,the area around my heart doesn't feel good 
/home/jia/project/backend/audios/train/1249120_44188922_11401591.wav,76504,i wake up at night feeling cold
/home/jia/project/backend/audios/train/1249120_44188922_24155893.wav,221228,i can't stand up  i feel my brain is moving inside my skull 
/home/jia/project/backend/audios/train/1249120_44188922_27414258.wav,84696,the severe pain in the stomach i feel
/home/jia/project/backend/audios/train/1249120_44194084_75430110.wav,234882,i had alot of exercise yesterday so i feel sharp muscle pains
/home/jia/project/backend/audios/train/1249120_44197979_15645117.wav,112002,my foot hurts and i can't turn it   maybe it's broken 
/home/jia/project/backend/audios/train/1249120_44197979_54284586.wav,68312,i feel really sad all the time 
/home/jia/project/backend/audios/train/1249120_44197979_55734126.wav,95618,when i'm driving my eyes see in double
/home/jia/project/backend/audios/train/1249120_44197979_58095075.wav,73772,it itches inside my ears 
/home/jia/project/backend/audios/train/1249120_44197979_63101594.wav,79234,something dark is there on my arm
/home/jia/project/backend/audios/train/1249120_44197979_73991480.wav,136578,even though i'm an adult my face keeps breaking out in pimples 
/home/jia/project/backend/audios/train/1249120_44197979_82186125.wav,81964,my sore looks like its not healing well 
/home/jia/project/backend/audios/train/1249120_44197979_83243623.wav,139308,i hit my head at the basketball game   could i have a concussion 
/home/jia/project/backend/audios/train/1249120_44235678_54535805.wav,352300,my ear hurts and it's worse when i swallow   my ear is very painful and tylenol hasn't helped 
/home/jia/project/backend/audios/train/1249120_44235678_65385937.wav,152962,i knocked my foot and it really hurts 
/home/jia/project/backend/audios/train/1249120_44246595_60122298.wav,214040,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen 
/home/jia/project/backend/audios/train/1249120_44160489_84795394.wav,184318,my right shoulder clicks when i move my arm 
/home/jia/project/backend/audios/train/1249120_44176037_46744530.wav,125656,yesterday i had a shouder pain
/home/jia/project/backend/audios/train/1249120_44235678_87414469.wav,161154,i have a sharp pain in my abdomen 
/home/jia/project/backend/audios/train/1249120_44194084_63274838.wav,172076,my entire body is freezing 
/home/jia/project/backend/audios/train/1249120_44194084_66799562.wav,183000,i have muscle pain at my left leg 
/home/jia/project/backend/audios/train/1249120_44220382_65422893.wav,53544,i have a pain in my head
/home/jia/project/backend/audios/train/1249120_44220382_79705872.wav,59488,i have a pain internal
/home/jia/project/backend/audios/train/1249120_44220382_79734792.wav,163514,there feels like a swollen knot at my shoulderblade with pain shooting from that
/home/jia/project/backend/audios/train/1249120_44246595_36089089.wav,77322,using hair tonic
/home/jia/project/backend/audios/train/1249120_44142156_82857166.wav,188460,when i play sports  i have some burning sensation in my spine
/home/jia/project/backend/audios/train/1249120_44142156_84118183.wav,196652,even if the temperature is high in the house   my body is always cold
/home/jia/project/backend/audios/train/1249120_44142156_85979757.wav,114732,when i'm driving my eyes see in double
/home/jia/project/backend/audios/train/1249120_44194084_36071243.wav,210306,redness  swelling  and difficulty walking
/home/jia/project/backend/audios/train/1249120_44194084_76179803.wav,161154,the area around my heart doesn't feel good 
/home/jia/project/backend/audios/train/1249120_44220382_102604190.wav,151624,my knees swell right below the knee cap and hurt when i put weight on them 
/home/jia/project/backend/audios/train/1249120_44220382_20998521.wav,77322,i have an ear ache when showering
/home/jia/project/backend/audios/train/1249120_44220382_23959561.wav,89210,my infected wound caused a fever
/home/jia/project/backend/audios/train/1249120_44220382_25011036.wav,62460,i have a pain in my elbow joint
/home/jia/project/backend/audios/train/1249120_44220382_51018374.wav,71376,my head hurts when i'm doing this 
/home/jia/project/backend/audios/train/1249120_44220382_60801132.wav,95154,when i extend my leg there is pain in knee joint
/home/jia/project/backend/audios/train/1249120_44220382_68372240.wav,92182,there is a red stain in my skin
/home/jia/project/backend/audios/train/1249120_44220382_96437900.wav,62460,i can't see well
/home/jia/project/backend/audios/train/1249120_44235678_98666570.wav,196652,my foot hurts and i can't turn it   maybe it's broken 
/home/jia/project/backend/audios/train/1249120_44246595_10077677.wav,199180,the pain is intense especially when i go down the stairs  it feels like something has snapped inside my knee 
/home/jia/project/backend/audios/train/1249120_44246595_18219512.wav,157570,the knee feels like it rusted and i suddenly cannot bend it anymore 
/home/jia/project/backend/audios/train/1249120_44246595_39730117.wav,110014,my knee is hurting so badly 
/home/jia/project/backend/audios/train/1249120_44246595_48215657.wav,74348,my ear hurts when i touch it 
/home/jia/project/backend/audios/train/1249120_44246595_54009181.wav,65432,i'm feeling nauseous
/home/jia/project/backend/audios/train/1249120_44246595_60938320.wav,80294,my ear hurts me badly
/home/jia/project/backend/audios/train/1249120_44246595_72846473.wav,77322,my chest hurts when i smoke
/home/jia/project/backend/audios/train/1249120_44142156_102691000.wav,469720,my knee feels weak and it gave way the other day at the top of the stairs   luckily there was a rail to hold on to 
/home/jia/project/backend/audios/train/1249120_44142156_107416693.wav,150232,my heart feels like it's going to explode 
/home/jia/project/backend/audios/train/1249120_44142156_108551604.wav,98348,something dark is there on my arm
/home/jia/project/backend/audios/train/1249120_44142156_109272216.wav,112002,i think i sprained my ankle it really hurts 
/home/jia/project/backend/audios/train/1249120_44142156_68688606.wav,202114,my head hurts in the back and the pain lasts all day 
/home/jia/project/backend/audios/train/1249120_44142156_69073946.wav,98348,my knee doesn't want to bend well 
/home/jia/project/backend/audios/train/1249120_44142156_71498583.wav,92888,it itches inside my ears 
/home/jia/project/backend/audios/train/1249120_44142156_72079889.wav,387800,my face is all broken out with pimples 
/home/jia/project/backend/audios/train/1249120_44142156_72215245.wav,101080,in the morning my respiration is loud 
/home/jia/project/backend/audios/train/1249120_44142156_78886399.wav,185730,when i'm awake in the morning i feel strange and have vertigo
/home/jia/project/backend/audios/train/1249120_44142156_83374589.wav,221228,after playing tennis   i had a powerful sensation close to my neck
/home/jia/project/backend/audios/train/1249120_44142156_87050205.wav,133848,mr hair is falling out just by combing it 
/home/jia/project/backend/audios/train/1249120_44176037_43767120.wav,122924,itch at front and center of scalp
/home/jia/project/backend/audios/train/1249120_44188922_44459296.wav,98348,i can't stand with this horrible feeling in my stomach
/home/jia/project/backend/audios/train/1249120_44188922_65865605.wav,267650,my lungs feel heavy like they are filled with mucus
/home/jia/project/backend/audios/train/1249120_44194084_44797818.wav,122924,i have cloudy eyes
/home/jia/project/backend/audios/train/1249120_44194084_57451169.wav,393260,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar 
/home/jia/project/backend/audios/train/1249120_44194084_60307790.wav,147500,i got acne when i ate chili
/home/jia/project/backend/audios/train/1249120_44194084_78425142.wav,215768,i feel a pain on the left side of my chest  where my heart is
/home/jia/project/backend/audios/train/1249120_44220382_103725302.wav,130820,i had alot of exercise yesterday so i feel sharp muscle pains
/home/jia/project/backend/audios/train/1249120_44220382_106653870.wav,74348,i'm not good i'm feeling so cold
/home/jia/project/backend/audios/train/1249120_44220382_10727042.wav,89210,i have pain but i can't specify place
/home/jia/project/backend/audios/train/1249120_44220382_17940239.wav,95154,i feel a pain in my back when i sit on a chair for long 
/home/jia/project/backend/audios/train/1249120_44220382_18567582.wav,65432,when i wake up i am feeling cold
/home/jia/project/backend/audios/train/1249120_44220382_27478194.wav,98126,when i lift my arms up i have a soreness in my shoulders
/home/jia/project/backend/audios/train/1249120_44220382_29085776.wav,121904,i feel a pain on the left side of my chest  where my heart is
/home/jia/project/backend/audios/train/1249120_44220382_30888646.wav,104070,my stomach has been sore since yesterday 
/home/jia/project/backend/audios/train/1249120_44220382_34886445.wav,83266,i feel pain in my head with a vertigo
/home/jia/project/backend/audios/train/1249120_44220382_41016711.wav,86238,i have a back pain since i fell on the floor 
/home/jia/project/backend/audios/train/1249120_44220382_41432308.wav,80294,i feel great pressure in my chest
/home/jia/project/backend/audios/train/1249120_44220382_42961845.wav,89210,my hand open wound got infected
/home/jia/project/backend/audios/train/1249120_44220382_50020297.wav,202152,i used to be out of breath after going up a dozen of stairs  but now i struggle to breath even when i sit down 
/home/jia/project/backend/audios/train/1249120_44220382_63464751.wav,77322,i feel like my heart is on fire 
/home/jia/project/backend/audios/train/1249120_44220382_68839138.wav,80294,i have disterbance in my emotion
/home/jia/project/backend/audios/train/1249120_44220382_69001547.wav,142708,stiffness inability to look right or left except by moving the whole body
/home/jia/project/backend/audios/train/1249120_44220382_72437470.wav,148652,i love to walk and be outside but the bottoms of my feet get sore so quickly 
/home/jia/project/backend/audios/train/1249120_44220382_72530590.wav,110014,my shoulder muscle hurts when i try to reach up 
/home/jia/project/backend/audios/train/1249120_44220382_75303599.wav,196208,my son squeezed a pimple and it broke open only to scab over and now looks like it is infected 
/home/jia/project/backend/audios/train/1249120_44220382_75955065.wav,104070,when i carry heavy things i feel like breaking my back
/home/jia/project/backend/audios/train/1249120_44220382_76831590.wav,77322,i feel like the room is spinning
/home/jia/project/backend/audios/train/1249120_44220382_77525606.wav,139736,i tried to put my glasses to see more clear but cant find any change
/home/jia/project/backend/audios/train/1249120_44220382_82052300.wav,160542,had i stepped on a needle it wouldn't have hurt so much  like this damned spur in my heel 
/home/jia/project/backend/audios/train/1249120_44220382_82404119.wav,110014,when i was washing my hair it was falling out heavily
/home/jia/project/backend/audios/train/1249120_44220382_85606050.wav,112986,when my grand father died i felt a hard emotional pain
/home/jia/project/backend/audios/train/1249120_44220382_93846550.wav,95154,i have a neck pain when i sit in front of my laptop 
